Ukazatel,IndicatorType,Druh PHM,CENPHM1,Měsíce,CasM,Území,Uz0,Hodnota
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2004,2004-08,Česko,CZ,25.26
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2004,2004-09,Česko,CZ,25.46
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2004,2004-10,Česko,CZ,26.26
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2004,2004-11,Česko,CZ,26.64
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2004,2004-12,Česko,CZ,25.73
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2005,2005-01,Česko,CZ,24.79
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2005,2005-02,Česko,CZ,24.43
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2005,2005-03,Česko,CZ,25.31
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2005,2005-04,Česko,CZ,27.12
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2005,2005-05,Česko,CZ,27.13
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2005,2005-06,Česko,CZ,28.24
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2005,2005-07,Česko,CZ,29.37
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2005,2005-08,Česko,CZ,29.32
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2005,2005-09,Česko,CZ,30.78
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2005,2005-10,Česko,CZ,30.23
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2005,2005-11,Česko,CZ,29.55
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2005,2005-12,Česko,CZ,28.2
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2006,2006-01,Česko,CZ,27.86
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2006,2006-02,Česko,CZ,28.06
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2006,2006-03,Česko,CZ,28.02
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2006,2006-04,Česko,CZ,29.25
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2006,2006-05,Česko,CZ,30.17
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2006,2006-06,Česko,CZ,29.88
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2006,2006-07,Česko,CZ,30.03
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2006,2006-08,Česko,CZ,30.08
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2006,2006-09,Česko,CZ,29.67
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2006,2006-10,Česko,CZ,28.62
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2006,2006-11,Česko,CZ,28.1
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2006,2006-12,Česko,CZ,27.87
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2007,2007-01,Česko,CZ,27.27
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2007,2007-02,Česko,CZ,26.52
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2007,2007-03,Česko,CZ,27.07
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2007,2007-04,Česko,CZ,27.64
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2007,2007-05,Česko,CZ,28.29
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2007,2007-06,Česko,CZ,28.5
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2007,2007-07,Česko,CZ,28.7
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2007,2007-08,Česko,CZ,28.68
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2007,2007-09,Česko,CZ,28.82
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2007,2007-10,Česko,CZ,29.36
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2007,2007-11,Česko,CZ,31.13
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2007,2007-12,Česko,CZ,32.03
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2008,2008-01,Česko,CZ,31.62
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2008,2008-02,Česko,CZ,31.12
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2008,2008-03,Česko,CZ,31.29
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2008,2008-04,Česko,CZ,31.64
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2008,2008-05,Česko,CZ,33.46
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2008,2008-06,Česko,CZ,35.29
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2008,2008-07,Česko,CZ,34.98
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2008,2008-08,Česko,CZ,33.59
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2008,2008-09,Česko,CZ,32.65
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2008,2008-10,Česko,CZ,30.75
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2008,2008-11,Česko,CZ,28.44
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2008,2008-12,Česko,CZ,26.07
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2009,2009-01,Česko,CZ,24.73
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2009,2009-02,Česko,CZ,25.04
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2009,2009-03,Česko,CZ,25.01
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2009,2009-04,Česko,CZ,25.6
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2009,2009-05,Česko,CZ,25.88
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2009,2009-06,Česko,CZ,26.74
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2009,2009-07,Česko,CZ,26.79
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2009,2009-08,Česko,CZ,26.8
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2009,2009-09,Česko,CZ,26.44
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2009,2009-10,Česko,CZ,26.05
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2009,2009-11,Česko,CZ,27.11
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2009,2009-12,Česko,CZ,26.96
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2010,2010-01,Česko,CZ,29.03
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2010,2010-02,Česko,CZ,29.06
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2010,2010-03,Česko,CZ,29.59
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2010,2010-04,Česko,CZ,30.33
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2010,2010-05,Česko,CZ,31.11
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2010,2010-06,Česko,CZ,31.43
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2010,2010-07,Česko,CZ,31.47
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2010,2010-08,Česko,CZ,30.87
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2010,2010-09,Česko,CZ,30.58
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2010,2010-10,Česko,CZ,30.59
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2010,2010-11,Česko,CZ,30.76
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2010,2010-12,Česko,CZ,32.01
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2011,2011-01,Česko,CZ,32.72
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2011,2011-02,Česko,CZ,32.84
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2011,2011-03,Česko,CZ,33.8
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2011,2011-04,Česko,CZ,34.42
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2011,2011-05,Česko,CZ,34.44
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2011,2011-06,Česko,CZ,34.24
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2011,2011-07,Česko,CZ,34.25
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2011,2011-08,Česko,CZ,34.34
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2011,2011-09,Česko,CZ,34.38
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2011,2011-10,Česko,CZ,34.69
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2011,2011-11,Česko,CZ,35.31
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2011,2011-12,Česko,CZ,35.58
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2012,2012-01,Česko,CZ,36.32
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2012,2012-02,Česko,CZ,36.75
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2012,2012-03,Česko,CZ,37.08
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2012,2012-04,Česko,CZ,36.95
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2012,2012-05,Česko,CZ,36.51
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2012,2012-06,Česko,CZ,35.72
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2012,2012-07,Česko,CZ,35.37
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2012,2012-08,Česko,CZ,36.47
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2012,2012-09,Česko,CZ,37.2
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2012,2012-10,Česko,CZ,36.96
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2012,2012-11,Česko,CZ,36.42
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2012,2012-12,Česko,CZ,35.82
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2013,2013-01,Česko,CZ,35.8
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2013,2013-02,Česko,CZ,36.2
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2013,2013-03,Česko,CZ,36.34
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2013,2013-04,Česko,CZ,35.86
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2013,2013-05,Česko,CZ,35.25
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2013,2013-06,Česko,CZ,35.76
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2013,2013-07,Česko,CZ,36.31
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2013,2013-08,Česko,CZ,36.51
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2013,2013-09,Česko,CZ,36.67
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2013,2013-10,Česko,CZ,36.18
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2013,2013-11,Česko,CZ,35.98
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2013,2013-12,Česko,CZ,36.49
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2014,2014-01,Česko,CZ,36.65
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2014,2014-02,Česko,CZ,36.57
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2014,2014-03,Česko,CZ,36.39
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2014,2014-04,Česko,CZ,36.18
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2014,2014-05,Česko,CZ,36.26
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2014,2014-06,Česko,CZ,36.52
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2014,2014-07,Česko,CZ,36.81
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2014,2014-08,Česko,CZ,36.68
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2014,2014-09,Česko,CZ,36.73
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2014,2014-10,Česko,CZ,36.55
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2014,2014-11,Česko,CZ,36.01
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2014,2014-12,Česko,CZ,34.41
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2015,2015-01,Česko,CZ,31.89
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2015,2015-02,Česko,CZ,30.66
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2015,2015-03,Česko,CZ,31.9
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2015,2015-04,Česko,CZ,32.21
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2015,2015-05,Česko,CZ,32.82
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2015,2015-06,Česko,CZ,32.92
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2015,2015-07,Česko,CZ,32.56
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2015,2015-08,Česko,CZ,31.28
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2015,2015-09,Česko,CZ,30.28
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2015,2015-10,Česko,CZ,29.86
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2015,2015-11,Česko,CZ,29.44
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2015,2015-12,Česko,CZ,28.71
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2016,2016-01,Česko,CZ,27.28
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2016,2016-02,Česko,CZ,25.45
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2016,2016-03,Česko,CZ,25.59
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2016,2016-04,Česko,CZ,25.97
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2016,2016-05,Česko,CZ,26.91
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2016,2016-06,Česko,CZ,28.21
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2016,2016-07,Česko,CZ,28.21
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2016,2016-08,Česko,CZ,27.64
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2016,2016-09,Česko,CZ,27.75
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2016,2016-10,Česko,CZ,28.23
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2016,2016-11,Česko,CZ,28.54
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2016,2016-12,Česko,CZ,29.4
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2017,2017-01,Česko,CZ,30.37
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2017,2017-02,Česko,CZ,30.51
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2017,2017-03,Česko,CZ,30.31
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2017,2017-04,Česko,CZ,30.09
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2017,2017-05,Česko,CZ,29.68
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2017,2017-06,Česko,CZ,28.99
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2017,2017-07,Česko,CZ,28.35
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2017,2017-08,Česko,CZ,28.46
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2017,2017-09,Česko,CZ,28.71
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2017,2017-10,Česko,CZ,29.19
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2017,2017-11,Česko,CZ,29.75
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2017,2017-12,Česko,CZ,29.69
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2018,2018-01,Česko,CZ,29.89
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2018,2018-02,Česko,CZ,29.82
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2018,2018-03,Česko,CZ,29.55
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2018,2018-04,Česko,CZ,30.0
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2018,2018-05,Česko,CZ,31.33
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2018,2018-06,Česko,CZ,32.36
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2018,2018-07,Česko,CZ,32.31
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2018,2018-08,Česko,CZ,32.21
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2018,2018-09,Česko,CZ,32.44
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2018,2018-10,Česko,CZ,33.22
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2018,2018-11,Česko,CZ,33.56
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2018,2018-12,Česko,CZ,32.45
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2019,2019-01,Česko,CZ,31.14
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2019,2019-02,Česko,CZ,30.91
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2019,2019-03,Česko,CZ,31.32
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2019,2019-04,Česko,CZ,31.77
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2019,2019-05,Česko,CZ,32.36
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2019,2019-06,Česko,CZ,32.17
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2019,2019-07,Česko,CZ,31.79
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2019,2019-08,Česko,CZ,31.65
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2019,2019-09,Česko,CZ,31.71
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2019,2019-10,Česko,CZ,31.89
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2019,2019-11,Česko,CZ,31.73
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2019,2019-12,Česko,CZ,31.63
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2020,2020-01,Česko,CZ,31.92
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2020,2020-02,Česko,CZ,31.37
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2020,2020-03,Česko,CZ,29.63
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2020,2020-04,Česko,CZ,26.83
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2020,2020-05,Česko,CZ,25.76
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2020,2020-06,Česko,CZ,26.33
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2020,2020-07,Česko,CZ,27.48
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2020,2020-08,Česko,CZ,27.54
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2020,2020-09,Česko,CZ,27.16
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2020,2020-10,Česko,CZ,27.17
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2020,2020-11,Česko,CZ,27.17
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2020,2020-12,Česko,CZ,27.53
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2021,2021-01,Česko,CZ,27.48
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2021,2021-02,Česko,CZ,27.74
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2021,2021-03,Česko,CZ,29.14
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2021,2021-04,Česko,CZ,29.7
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2021,2021-05,Česko,CZ,29.96
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2021,2021-06,Česko,CZ,30.54
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2021,2021-07,Česko,CZ,31.48
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2021,2021-08,Česko,CZ,31.64
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2021,2021-09,Česko,CZ,31.81
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2021,2021-10,Česko,CZ,34.24
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2021,2021-11,Česko,CZ,36.01
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2021,2021-12,Česko,CZ,35.38
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2022,2022-01,Česko,CZ,35.13
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2022,2022-02,Česko,CZ,36.68
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2022,2022-03,Česko,CZ,47.09
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2022,2022-04,Česko,CZ,45.38
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2022,2022-05,Česko,CZ,45.99
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2022,2022-06,Česko,CZ,46.99
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2022,2022-07,Česko,CZ,47.35
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2022,2022-08,Česko,CZ,43.85
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2022,2022-09,Česko,CZ,44.38
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2022,2022-10,Česko,CZ,45.66
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2022,2022-11,Česko,CZ,44.02
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2022,2022-12,Česko,CZ,38.53
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2023,2023-01,Česko,CZ,37.49
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2023,2023-02,Česko,CZ,36.84
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2023,2023-03,Česko,CZ,35.77
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2023,2023-04,Česko,CZ,34.4
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2023,2023-05,Česko,CZ,31.72
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červen 2023,2023-06,Česko,CZ,31.73
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,červenec 2023,2023-07,Česko,CZ,32.79
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,srpen 2023,2023-08,Česko,CZ,37.39
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,září 2023,2023-09,Česko,CZ,39.22
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,říjen 2023,2023-10,Česko,CZ,39.95
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,listopad 2023,2023-11,Česko,CZ,38.7
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,prosinec 2023,2023-12,Česko,CZ,36.83
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,leden 2024,2024-01,Česko,CZ,36.43
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,únor 2024,2024-02,Česko,CZ,38.07
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,březen 2024,2024-03,Česko,CZ,38.56
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,duben 2024,2024-04,Česko,CZ,39.1
Průměrná cena pohonných hmot,6621,Motorová nafta [Kč/l],722101,květen 2024,2024-05,Česko,CZ,37.83
